sample,sample_method,trap,season,type,trap_name
B_P01_DRY_total,B,P01,DRY,soil,Berlese
B_P01_WET_total,B,P01,WET,soil,Berlese
B_P02_DRY_total,B,P02,DRY,soil,Berlese
B_P02_WET_total,B,P02,WET,soil,Berlese
B_P03_DRY_total,B,P03,DRY,soil,Berlese
B_P03_WET_total,B,P03,WET,soil,Berlese
B_P04_DRY_total,B,P04,DRY,soil,Berlese
B_P04_WET_total,B,P04,WET,soil,Berlese
B_P05_DRY_total,B,P05,DRY,soil,Berlese
B_P05_WET_total,B,P05,WET,soil,Berlese
B_P06_DRY_total,B,P06,DRY,soil,Berlese
B_P06_WET_total,B,P06,WET,soil,Berlese
B_P07_DRY_total,B,P07,DRY,soil,Berlese
B_P07_WET_total,B,P07,WET,soil,Berlese
B_P08_DRY_total,B,P08,DRY,soil,Berlese
B_P08_WET_total,B,P08,WET,soil,Berlese
B_P09_DRY_total,B,P09,DRY,soil,Berlese
B_P09_WET_total,B,P09,WET,soil,Berlese
B_P10_DRY_total,B,P10,DRY,soil,Berlese
B_P10_WET_total,B,P10,WET,soil,Berlese
B_P11_DRY_total,B,P11,DRY,soil,Berlese
B_P11_WET_total,B,P11,WET,soil,Berlese
B_P12_DRY_total,B,P12,DRY,soil,Berlese
B_P12_WET_total,B,P12,WET,soil,Berlese
B_P13_DRY_total,B,P13,DRY,soil,Berlese
B_P13_WET_total,B,P13,WET,soil,Berlese
B_P14_DRY_total,B,P14,DRY,soil,Berlese
B_P14_WET_total,B,P14,WET,soil,Berlese
B_P15_DRY_total,B,P15,DRY,soil,Berlese
B_P15_WET_total,B,P15,WET,soil,Berlese
B_P16_DRY_total,B,P16,DRY,soil,Berlese
B_P16_WET_total,B,P16,WET,soil,Berlese
B_P17_DRY_total,B,P17,DRY,soil,Berlese
B_P17_WET_total,B,P17,WET,soil,Berlese
B_P18_DRY_total,B,P18,DRY,soil,Berlese
B_P18_WET_total,B,P18,WET,soil,Berlese
B_P19_DRY_total,B,P19,DRY,soil,Berlese
B_P19_WET_total,B,P19,WET,soil,Berlese
B_P20_DRY_total,B,P20,DRY,soil,Berlese
B_P20_WET_total,B,P20,WET,soil,Berlese
B_P21_DRY_total,B,P21,DRY,soil,Berlese
B_P21_WET_total,B,P21,WET,soil,Berlese
B_P22_DRY_total,B,P22,DRY,soil,Berlese
B_P22_WET_total,B,P22,WET,soil,Berlese
B_P23_DRY_total,B,P23,DRY,soil,Berlese
B_P23_WET_total,B,P23,WET,soil,Berlese
B_P24_DRY_total,B,P24,DRY,soil,Berlese
B_P24_WET_total,B,P24,WET,soil,Berlese
B_P25_DRY_total,B,P25,DRY,soil,Berlese
B_P25_WET_total,B,P25,WET,soil,Berlese
BE_P01_DRY_total,BE,P01,DRY,vegetation,Beating
BE_P01_WET_total,BE,P01,WET,vegetation,Beating
BE_P02_DRY_total,BE,P02,DRY,vegetation,Beating
BE_P02_WET_total,BE,P02,WET,vegetation,Beating
BE_P03_DRY_total,BE,P03,DRY,vegetation,Beating
BE_P03_WET_total,BE,P03,WET,vegetation,Beating
BE_P04_DRY_total,BE,P04,DRY,vegetation,Beating
BE_P04_WET_total,BE,P04,WET,vegetation,Beating
BE_P05_DRY_total,BE,P05,DRY,vegetation,Beating
BE_P05_WET_total,BE,P05,WET,vegetation,Beating
BE_P06_DRY_total,BE,P06,DRY,vegetation,Beating
BE_P06_WET_total,BE,P06,WET,vegetation,Beating
BE_P07_DRY_total,BE,P07,DRY,vegetation,Beating
BE_P07_WET_total,BE,P07,WET,vegetation,Beating
BE_P08_DRY_total,BE,P08,DRY,vegetation,Beating
BE_P08_WET_total,BE,P08,WET,vegetation,Beating
BE_P09_DRY_total,BE,P09,DRY,vegetation,Beating
BE_P09_WET_total,BE,P09,WET,vegetation,Beating
BE_P10_DRY_total,BE,P10,DRY,vegetation,Beating
BE_P10_WET_total,BE,P10,WET,vegetation,Beating
BE_P11_DRY_total,BE,P11,DRY,vegetation,Beating
BE_P11_WET_total,BE,P11,WET,vegetation,Beating
BE_P12_DRY_total,BE,P12,DRY,vegetation,Beating
BE_P12_WET_total,BE,P12,WET,vegetation,Beating
BE_P13_DRY_total,BE,P13,DRY,vegetation,Beating
BE_P13_WET_total,BE,P13,WET,vegetation,Beating
BE_P14_DRY_total,BE,P14,DRY,vegetation,Beating
BE_P14_WET_total,BE,P14,WET,vegetation,Beating
BE_P15_DRY_total,BE,P15,DRY,vegetation,Beating
BE_P15_WET_total,BE,P15,WET,vegetation,Beating
BE_P16_DRY_total,BE,P16,DRY,vegetation,Beating
BE_P16_WET_total,BE,P16,WET,vegetation,Beating
BE_P17_DRY_total,BE,P17,DRY,vegetation,Beating
BE_P17_WET_total,BE,P17,WET,vegetation,Beating
BE_P18_DRY_total,BE,P18,DRY,vegetation,Beating
BE_P18_WET_total,BE,P18,WET,vegetation,Beating
BE_P19_DRY_total,BE,P19,DRY,vegetation,Beating
BE_P19_WET_total,BE,P19,WET,vegetation,Beating
BE_P20_DRY_total,BE,P20,DRY,vegetation,Beating
BE_P20_WET_total,BE,P20,WET,vegetation,Beating
BE_P21_DRY_total,BE,P21,DRY,vegetation,Beating
BE_P21_WET_total,BE,P21,WET,vegetation,Beating
BE_P22_DRY_total,BE,P22,DRY,vegetation,Beating
BE_P22_WET_total,BE,P22,WET,vegetation,Beating
BE_P23_DRY_total,BE,P23,DRY,vegetation,Beating
BE_P23_WET_total,BE,P23,WET,vegetation,Beating
BE_P24_DRY_total,BE,P24,DRY,vegetation,Beating
BE_P24_WET_total,BE,P24,WET,vegetation,Beating
BE_P25_DRY_total,BE,P25,DRY,vegetation,Beating
BE_P25_WET_total,BE,P25,WET,vegetation,Beating
LT_P01_DRY_total,LT,P01,DRY,flight,Light trap
LT_P01_WET_total,LT,P01,WET,flight,Light trap
LT_P02_DRY_total,LT,P02,DRY,flight,Light trap
LT_P02_WET_total,LT,P02,WET,flight,Light trap
LT_P03_DRY_total,LT,P03,DRY,flight,Light trap
